Date,Response Time
12/08/2020 09:39:35',0:00:01'
12/08/2020 09:40:03',0:00:02'
12/08/2020 09:40:14',0:00:04'
12/08/2020 09:40:17',0:00:00'
12/08/2020 09:41:13',0:00:02'
12/08/2020 09:41:27',0:00:03'
12/08/2020 09:41:37',0:00:03'
12/08/2020 09:42:43',0:00:01'
12/08/2020 09:42:51',0:00:04'
12/08/2020 09:42:54',0:00:00'
12/08/2020 09:42:58',0:00:01'
12/08/2020 09:43:11',0:00:02'
12/08/2020 09:43:16',0:00:02'
12/08/2020 09:44:48',0:00:02'
12/08/2020 09:44:55',0:00:04'
12/08/2020 09:44:57',0:00:00'
12/08/2020 10:37:10',0:00:02'
12/08/2020 10:37:15',0:00:04'
12/08/2020 10:37:32',0:00:01'
12/08/2020 10:37:36',0:00:01'
12/08/2020 10:37:53',0:00:09'
12/08/2020 10:38:07',0:00:01'
12/08/2020 10:38:13',0:00:04'
12/08/2020 10:38:23',0:00:00'
12/08/2020 10:38:34',0:00:02'
12/08/2020 10:38:37',0:00:03'
12/08/2020 10:38:49',0:00:01'
12/08/2020 10:38:57',0:00:01'
12/08/2020 10:39:17',0:00:09'
12/08/2020 10:39:33',0:00:02'
12/08/2020 10:39:39',0:00:04'
12/08/2020 10:39:46',0:00:01'
12/08/2020 10:39:51',0:00:01'
12/08/2020 10:40:06',0:00:03'
12/08/2020 10:40:12',0:00:03'
12/08/2020 10:40:18',0:00:01'
12/08/2020 10:40:31',0:00:01'
12/08/2020 10:40:48',0:00:15'
12/08/2020 10:41:06',0:00:02'
12/08/2020 10:41:13',0:00:04'
12/08/2020 10:41:17',0:00:00'
12/08/2020 12:28:01',0:00:02'
12/08/2020 12:28:06',0:00:03'
12/08/2020 12:28:15',0:00:01'
12/08/2020 12:28:25',0:00:02'
12/08/2020 12:28:42',0:00:15'
12/08/2020 12:28:57',0:00:02'
12/08/2020 12:29:03',0:00:04'
12/08/2020 12:29:06',0:00:00'
12/08/2020 12:30:15',0:00:03'
12/08/2020 12:30:23',0:00:03'
12/08/2020 12:30:55',0:00:02'
12/08/2020 12:31:01',0:00:02'
12/08/2020 12:31:07',0:00:01'
12/08/2020 15:26:37',0:00:02'
12/08/2020 15:26:44',0:00:03'
12/08/2020 15:26:49',0:00:03'
12/08/2020 15:27:50',0:00:02'
12/08/2020 15:27:55',0:00:04'
12/08/2020 15:27:59',0:00:00'
12/08/2020 15:28:04',0:00:01'
12/08/2020 15:28:30',0:00:01'
12/08/2020 15:29:16',0:00:01'
12/08/2020 15:29:27',0:00:03'
12/08/2020 15:29:33',0:00:02'
12/08/2020 15:30:14',0:00:01'
12/08/2020 15:30:21',0:00:04'
12/08/2020 15:31:03',0:00:00'
12/08/2020 15:32:01',0:00:03'
12/08/2020 15:32:12',0:00:03'
12/08/2020 15:32:59',0:00:02'
12/08/2020 15:33:07',0:00:04'
12/08/2020 15:33:12',0:00:01'
12/08/2020 17:08:20',0:00:04'
12/08/2020 17:08:23',0:00:01'
12/08/2020 17:08:41',0:00:02'
12/08/2020 17:08:58',0:00:16'
12/08/2020 17:09:12',0:00:01'
12/08/2020 17:09:18',0:00:04'
12/08/2020 17:09:20',0:00:00'
13/08/2020 07:03:19',0:00:03'
13/08/2020 07:03:34',0:00:02'
13/08/2020 07:05:05',0:00:02'
13/08/2020 07:05:31',0:00:14'
13/08/2020 07:06:53',0:00:02'
13/08/2020 07:07:12',0:00:15'
13/08/2020 07:08:00',0:00:01'
13/08/2020 07:08:12',0:00:04'
13/08/2020 07:08:41',0:00:00'
13/08/2020 08:18:06',0:00:03'
13/08/2020 08:18:15',0:00:01'
13/08/2020 08:18:20',0:00:03'
13/08/2020 08:18:23',0:00:01'
13/08/2020 08:18:29',0:00:02'
13/08/2020 08:18:33',0:00:00'
13/08/2020 08:18:38',0:00:03'
13/08/2020 08:18:41',0:00:03'
13/08/2020 08:18:41',0:00:00'
13/08/2020 08:18:50',0:00:01'
13/08/2020 08:19:12',0:00:02'
13/08/2020 08:19:31',0:00:15'
13/08/2020 08:19:45',0:00:02'
13/08/2020 08:20:04',0:00:04'
13/08/2020 08:20:08',0:00:00'
13/08/2020 08:20:14',0:00:02'
13/08/2020 08:20:18',0:00:02'
13/08/2020 08:21:16',0:00:01'
13/08/2020 10:37:30',0:00:03'
13/08/2020 10:37:38',0:00:02'
13/08/2020 10:38:11',0:00:02'
13/08/2020 10:38:28',0:00:14'
13/08/2020 10:39:47',0:00:02'
13/08/2020 10:40:33',0:00:15'
13/08/2020 10:42:07',0:00:01'
13/08/2020 10:42:34',0:00:04'
13/08/2020 10:42:44',0:00:00'
13/08/2020 10:42:55',0:00:02'
13/08/2020 10:43:12',0:00:03'
13/08/2020 10:43:42',0:00:00'
13/08/2020 13:55:17',0:00:03'
13/08/2020 13:55:28',0:00:03'
13/08/2020 13:57:03',0:00:02'
13/08/2020 13:57:20',0:00:14'
13/08/2020 13:59:01',0:00:02'
13/08/2020 13:59:20',0:00:14'
13/08/2020 14:01:07',0:00:02'
13/08/2020 14:01:13',0:00:03'
13/08/2020 14:01:35',0:00:00'
14/08/2020 12:09:10',0:00:02'
14/08/2020 12:09:28',0:00:10'
14/08/2020 12:10:02',0:00:02'
14/08/2020 12:11:23',0:00:04'
14/08/2020 12:11:24',0:00:00'
14/08/2020 12:11:28',0:00:03'
14/08/2020 12:18:25',0:00:01'
14/08/2020 12:18:28',0:00:02'
14/08/2020 12:18:29',0:00:00'
14/08/2020 12:18:38',0:00:01'
14/08/2020 12:18:43',0:00:01'
14/08/2020 12:18:47',0:00:02'
14/08/2020 12:18:58',0:00:04'
14/08/2020 12:19:06',0:00:00'
14/08/2020 12:19:12',0:00:03'
14/08/2020 12:19:14',0:00:00'
14/08/2020 12:21:11',0:00:02'
14/08/2020 12:21:50',0:00:04'
14/08/2020 12:21:51',0:00:00'
14/08/2020 12:21:55',0:00:03'
14/08/2020 12:22:01',0:00:03'
14/08/2020 14:37:19',0:00:02'
14/08/2020 14:37:28',0:00:04'
14/08/2020 14:37:36',0:00:00'
14/08/2020 14:37:41',0:00:03'
14/08/2020 14:37:55',0:00:03'
14/08/2020 14:40:53',0:00:02'
14/08/2020 14:41:10',0:00:04'
14/08/2020 14:47:57',0:00:00'
14/08/2020 15:20:37',0:00:04'
14/08/2020 15:20:38',0:00:01'
14/08/2020 15:20:49',0:00:01'
14/08/2020 15:21:06',0:00:01'
14/08/2020 15:21:23',0:00:14'
14/08/2020 15:21:37',0:00:02'
14/08/2020 15:21:53',0:00:15'
14/08/2020 15:21:59',0:00:01'
14/08/2020 15:22:21',0:00:02'
14/08/2020 15:22:26',0:00:04'
14/08/2020 15:22:28',0:00:00'
15/08/2020 12:28:20',0:00:03'
15/08/2020 12:28:26',0:00:03'
15/08/2020 12:30:08',0:00:02'
15/08/2020 12:30:25',0:00:14'
15/08/2020 12:31:10',0:00:01'
15/08/2020 12:31:19',0:00:01'
15/08/2020 12:32:04',0:00:01'
15/08/2020 12:32:10',0:00:04'
15/08/2020 12:32:16',0:00:00'
15/08/2020 12:32:51',0:00:03'
15/08/2020 12:33:03',0:00:03'
15/08/2020 12:33:59',0:00:02'
15/08/2020 12:34:18',0:00:14'
15/08/2020 12:36:20',0:00:02'
15/08/2020 12:36:27',0:00:04'
15/08/2020 12:36:34',0:00:00'
15/08/2020 12:37:08',0:00:03'
15/08/2020 12:37:17',0:00:03'
15/08/2020 12:38:30',0:00:02'
15/08/2020 12:38:47',0:00:14'
15/08/2020 12:39:59',0:00:02'
15/08/2020 12:40:05',0:00:04'
15/08/2020 12:40:08',0:00:00'
15/08/2020 12:42:58',0:00:03'
15/08/2020 12:43:13',0:00:04'
15/08/2020 12:45:06',0:00:01'
15/08/2020 12:45:22',0:00:14'
15/08/2020 12:47:07',0:00:02'
15/08/2020 12:47:14',0:00:04'
15/08/2020 12:47:17',0:00:00'
15/08/2020 22:54:26',0:00:03'
15/08/2020 22:54:29',0:00:03'
15/08/2020 22:55:03',0:00:02'
15/08/2020 22:55:08',0:00:04'
15/08/2020 22:55:11',0:00:00'
15/08/2020 22:55:16',0:00:02'
16/08/2020 04:12:29',0:00:03'
16/08/2020 04:12:32',0:00:03'
16/08/2020 04:14:38',0:00:02'
16/08/2020 04:14:44',0:00:04'
16/08/2020 04:14:45',0:00:00'
16/08/2020 04:14:49',0:00:01'
16/08/2020 04:16:25',0:00:02'
16/08/2020 04:19:30',0:00:02'
16/08/2020 04:19:35',0:00:04'
16/08/2020 04:19:37',0:00:00'
16/08/2020 04:19:41',0:00:01'
16/08/2020 04:21:20',0:00:03'
16/08/2020 04:21:22',0:00:02'
16/08/2020 04:22:21',0:00:01'
16/08/2020 04:22:25',0:00:00'
16/08/2020 04:22:29',0:00:01'
16/08/2020 04:25:00',0:00:03'
16/08/2020 04:25:03',0:00:02'
16/08/2020 08:04:14',0:00:03'
16/08/2020 08:04:21',0:00:03'
16/08/2020 08:04:32',0:00:02'
16/08/2020 08:04:44',0:00:01'
16/08/2020 08:04:51',0:00:04'
16/08/2020 08:04:58',0:00:00'
16/08/2020 08:05:07',0:00:03'
16/08/2020 11:17:53',0:00:03'
16/08/2020 11:17:58',0:00:03'
16/08/2020 11:20:47',0:00:02'
16/08/2020 11:21:04',0:00:14'
16/08/2020 11:22:47',0:00:02'
16/08/2020 11:22:54',0:00:03'
16/08/2020 11:23:02',0:00:00'
16/08/2020 11:23:11',0:00:03'
16/08/2020 11:23:14',0:00:03'
16/08/2020 11:24:23',0:00:02'
16/08/2020 11:24:44',0:00:15'
16/08/2020 11:25:55',0:00:02'
16/08/2020 11:26:01',0:00:04'
16/08/2020 11:26:07',0:00:01'
17/08/2020 07:47:21',0:00:05'
17/08/2020 07:48:45',0:00:01'
17/08/2020 07:48:56',0:00:01'
17/08/2020 07:49:14',0:00:01'
17/08/2020 07:49:20',0:00:01'
17/08/2020 07:49:23',0:00:01'
17/08/2020 07:50:03',0:00:37'
17/08/2020 07:50:18',0:00:02'
17/08/2020 07:50:47',0:00:01'
17/08/2020 07:50:58',0:00:02'
17/08/2020 08:00:15',0:00:01'
17/08/2020 08:00:21',0:00:02'
17/08/2020 08:00:26',0:00:01'
17/08/2020 08:00:32',0:00:01'
17/08/2020 08:00:38',0:00:02'
17/08/2020 08:00:41',0:00:01'
17/08/2020 08:00:44',0:00:01'
17/08/2020 08:00:48',0:00:01'
17/08/2020 08:00:53',0:00:03'
17/08/2020 09:17:47',0:00:03'
17/08/2020 09:17:55',0:00:03'
17/08/2020 09:18:35',0:00:02'
17/08/2020 09:18:42',0:00:04'
17/08/2020 09:18:50',0:00:00'
17/08/2020 10:13:42',0:00:02'
17/08/2020 10:13:48',0:00:04'
17/08/2020 10:13:55',0:00:00'
17/08/2020 10:13:59',0:00:01'
17/08/2020 10:14:10',0:00:03'
17/08/2020 10:14:15',0:00:03'
17/08/2020 10:14:21',0:00:01'
17/08/2020 10:14:35',0:00:01'
17/08/2020 10:14:44',0:00:04'
17/08/2020 10:14:49',0:00:00'
17/08/2020 10:14:52',0:00:01'
17/08/2020 10:15:03',0:00:03'
17/08/2020 10:15:07',0:00:01'
17/08/2020 10:15:14',0:00:01'
17/08/2020 10:15:24',0:00:02'
17/08/2020 10:15:29',0:00:03'
17/08/2020 10:15:32',0:00:00'
17/08/2020 10:15:34',0:00:01'
17/08/2020 10:15:38',0:00:00'
17/08/2020 10:15:47',0:00:03'
17/08/2020 10:15:49',0:00:02'
17/08/2020 10:16:00',0:00:02'
17/08/2020 10:16:09',0:00:02'
17/08/2020 10:16:16',0:00:04'
17/08/2020 10:16:18',0:00:00'
17/08/2020 10:16:21',0:00:02'
17/08/2020 10:16:27',0:00:00'
17/08/2020 10:16:31',0:00:03'
17/08/2020 10:16:42',0:00:02'
17/08/2020 10:17:03',0:00:02'
17/08/2020 10:17:22',0:00:04'
17/08/2020 10:17:32',0:00:01'
17/08/2020 10:17:39',0:00:03'
17/08/2020 10:17:51',0:00:01'
17/08/2020 10:17:55',0:00:01'
17/08/2020 10:18:01',0:00:01'
17/08/2020 10:18:08',0:00:05'
17/08/2020 10:18:11',0:00:00'
17/08/2020 10:18:14',0:00:01'
17/08/2020 10:18:23',0:00:03'
17/08/2020 10:18:25',0:00:02'
17/08/2020 10:20:06',0:00:02'
17/08/2020 12:00:11',0:00:04'
17/08/2020 13:42:49',0:00:00'
17/08/2020 13:42:55',0:00:03'
17/08/2020 13:43:00',0:00:03'
17/08/2020 13:43:35',0:00:02'
17/08/2020 13:43:55',0:00:10'
17/08/2020 13:44:25',0:00:02'
17/08/2020 13:44:31',0:00:04'
17/08/2020 13:44:32',0:00:00'
17/08/2020 13:44:35',0:00:02'
17/08/2020 13:45:20',0:00:03'
17/08/2020 13:45:35',0:00:02'
17/08/2020 13:45:59',0:00:02'
17/08/2020 13:46:17',0:00:08'
17/08/2020 13:46:26',0:00:01'
17/08/2020 13:47:43',0:00:01'
17/08/2020 13:47:49',0:00:01'
17/08/2020 13:47:52',0:00:01'
17/08/2020 13:51:39',0:00:03'
17/08/2020 13:51:44',0:00:03'
17/08/2020 13:55:47',0:00:02'
17/08/2020 13:58:58',0:00:09'
17/08/2020 13:59:36',0:00:02'
17/08/2020 13:59:43',0:00:04'
17/08/2020 14:01:05',0:00:00'
17/08/2020 14:03:14',0:00:03'
17/08/2020 14:03:17',0:00:03'
17/08/2020 14:55:03',0:00:05'
